[throughput] started QUIC connection f2be249d2a4e8f57dc
[throughput] connection establishment time: 32.39 ms
[throughput] time to first byte: 37.04 ms
[throughput] second 42: 9.53 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 43: 9.54 Mbit/s, bytes received: 1.193797 MB, packets received: 856
[throughput] second 44: 9.53 Mbit/s, bytes received: 1.193779 MB, packets received: 856
[throughput] second 45: 9.53 Mbit/s, bytes received: 1.192875 MB, packets received: 856
[throughput] second 46: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 47: 9.53 Mbit/s, bytes received: 1.192365 MB, packets received: 855
[throughput] second 48: 9.53 Mbit/s, bytes received: 1.192383 MB, packets received: 855
[throughput] second 49: 9.54 Mbit/s, bytes received: 1.193779 MB, packets received: 856
[throughput] second 50: 9.53 Mbit/s, bytes received: 1.192875 MB, packets received: 856
[throughput] second 51: 9.54 Mbit/s, bytes received: 1.19378 MB, packets received: 856
[throughput] second 52: 9.54 Mbit/s, bytes received: 1.193796 MB, packets received: 856
[throughput] second 53: 9.52 Mbit/s, bytes received: 1.192357 MB, packets received: 855
[throughput] second 54: 9.54 Mbit/s, bytes received: 1.193787 MB, packets received: 856
[throughput] second 55: 9.53 Mbit/s, bytes received: 1.192884 MB, packets received: 856
[throughput] second 56: 9.54 Mbit/s, bytes received: 1.19377 MB, packets received: 856
[throughput] second 57: 9.55 Mbit/s, bytes received: 1.193806 MB, packets received: 856
[throughput] second 58: 9.52 Mbit/s, bytes received: 1.192348 MB, packets received: 856
[throughput] second 59: 9.53 Mbit/s, bytes received: 1.192892 MB, packets received: 856
[throughput] second 60: 9.53 Mbit/s, bytes received: 1.192374 MB, packets received: 856
[throughput] second 61: 9.52 Mbit/s, bytes received: 1.192366 MB, packets received: 854
[throughput] second 62: 9.54 Mbit/s, bytes received: 1.193796 MB, packets received: 856
[throughput] second 63: 9.54 Mbit/s, bytes received: 1.193751 MB, packets received: 856
[throughput] second 64: 9.53 Mbit/s, bytes received: 1.191489 MB, packets received: 855
[throughput] second 65: 9.53 Mbit/s, bytes received: 1.192374 MB, packets received: 855
[throughput] second 66: 9.53 Mbit/s, bytes received: 1.193779 MB, packets received: 856
[throughput] second 67: 9.54 Mbit/s, bytes received: 1.193797 MB, packets received: 856
[throughput] second 68: 9.53 Mbit/s, bytes received: 1.192356 MB, packets received: 857
[throughput] second 69: 9.53 Mbit/s, bytes received: 1.192875 MB, packets received: 856
[throughput] second 70: 9.54 Mbit/s, bytes received: 1.193797 MB, packets received: 855
[throughput] second 71: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 72: 9.54 Mbit/s, bytes received: 1.19377 MB, packets received: 856
[throughput] second 73: 9.52 Mbit/s, bytes received: 1.192392 MB, packets received: 855
[throughput] second 74: 9.54 Mbit/s, bytes received: 1.192866 MB, packets received: 856
[throughput] second 75: 9.53 Mbit/s, bytes received: 1.192374 MB, packets received: 856
[throughput] second 76: 9.54 Mbit/s, bytes received: 1.193779 MB, packets received: 855
[throughput] second 77: 9.53 Mbit/s, bytes received: 1.193788 MB, packets received: 857
[throughput] second 78: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 855
[throughput] second 79: 9.53 Mbit/s, bytes received: 1.192875 MB, packets received: 857
[throughput] second 80: 9.54 Mbit/s, bytes received: 1.193779 MB, packets received: 856
[throughput] second 81: 9.53 Mbit/s, bytes received: 1.192383 MB, packets received: 855
[throughput] second 82: 9.54 Mbit/s, bytes received: 1.193779 MB, packets received: 856
[throughput] second 83: 9.54 Mbit/s, bytes received: 1.193788 MB, packets received: 856
[throughput] second 84: 9.52 Mbit/s, bytes received: 1.191452 MB, packets received: 855
